,ticker,min_val,max_val,current_value,score,weight,weighted_score
373,PPG,66.47515869140625,170.79104614257812,117.75,1.034445837157342,104.31588745117188,0.009916474493317663
283,LDOS,66.3316421508789,200.86404418945312,132.25999450683594,1.0405849263790738,134.53240203857422,0.007734827525644781
492,WYNN,42.221641540527344,137.40188598632812,88.81999969482422,1.0425664812189124,95.18024444580078,0.010953601635395977
289,LMT,243.68190002441406,610.7789306640625,423.19000244140625,1.045016496174042,367.09703063964844,0.0028467037566420857
152,DOW,17.211410522460938,61.15119171142578,38.66999816894531,1.0476548556150493,43.939781188964844,0.02384296933818506
278,LHX,136.45242309570312,262.9791259765625,197.61000061035156,1.068863876280151,126.52670288085938,0.008447733576734543
75,BG,26.448368072509766,118.05548095703125,70.5,1.0795395965195662,91.60711288452148,0.011784451692964248
192,FSLR,30.200000762939453,300.7099914550781,159.75999450683594,1.0879129650689898,270.5099906921387,0.004021710851733824
142,DVN,4.083828926086426,68.9014663696289,34.63999938964844,1.1212618093238154,64.81763744354248,0.01729871457133034
68,BWA,16.169172286987305,46.06425094604492,30.219999313354492,1.1276383662654004,29.895078659057617,0.03771986617348298
372,POOL,159.84893798828125,557.7824096679688,344.2799987792969,1.157627191282047,397.9334716796875,0.0029090973081396564
126,CSGP,52.33700180053711,99.73999786376953,74.05999755859375,1.1821574055066306,47.40299606323242,0.024938453340158328
149,D,37.075565338134766,77.56382751464844,55.59000015258789,1.1868484013839233,40.48826217651367,0.029313394489734048
498,ZTS,89.11335754394531,239.90553283691406,157.52000427246094,1.2043497599204835,150.79217529296875,0.007986818663372919
59,BDX,182.59263610839844,276.77569580078125,224.8000030517578,1.2314365124641102,94.18305969238281,0.013074925750832285
5,ADBE,275.20001220703125,688.3699951171875,460.1600036621094,1.2338343533634097,413.16998291015625,0.0029862632921029667
37,APA,3.640900135040283,47.5179557800293,23.139999389648438,1.2502093595230919,43.877055644989014,0.028493465232457372
221,HAS,37.0838508605957,91.01325225830078,60.81999969482422,1.2720367054632147,53.92940139770508,0.02358707258926381
351,ON,8.449999809265137,108.08999633789062,51.83000183105469,1.2969108318293032,99.63999652862549,0.013015966248621003
70,BMY,38.59714126586914,73.75347137451172,53.900001525878906,1.2973698714687305,35.15633010864258,0.03690288114429198
6,AMD,38.709999084472656,211.3800048828125,113.0999984741211,1.3211454122201178,172.67000579833984,0.007651273341376236
341,NCLH,7.769999980926514,52.02000045776367,26.3799991607666,1.3777540261674204,44.25000047683716,0.031135683871655804
29,AWK,88.56034851074219,176.8558807373047,125.66000366210938,1.3799556051482234,88.2955322265625,0.015628827080483725
201,BEN,12.075163841247559,32.22829055786133,20.530000686645508,1.3836210071378627,20.15312671661377,0.06865540154606568
211,GIS,40.177249908447266,85.09842681884766,58.84000015258789,1.4069966281900967,44.92117691040039,0.031321455156806934
312,MCHP,25.739234924316406,98.26766204833984,55.7599983215332,1.415942131929513,72.52842712402344,0.01952258153217986
84,KMX,44.27000045776367,154.85000610351562,88.9000015258789,1.4777056464099665,110.58000564575195,0.013363226360684618
133,CVS,43.2305793762207,100.044921875,65.83000183105469,1.513973204949173,56.8143424987793,0.026647729048025186
76,BXP,41.829437255859375,114.89746856689453,70.87999725341797,1.5152021619265097,73.06803131103516,0.02073686856946528
424,SMCI,1.5980000495910645,118.80699920654297,47.90999984741211,1.5308559265123016,117.2089991569519,0.013060907758988431
282,LVS,29.224714279174805,65.69107818603516,43.369998931884766,1.5779872800137753,36.46636390686035,0.043272405333423206
119,STZ,97.8907699584961,267.0943298339844,162.94000244140625,1.6011615113205482,169.20355987548828,0.00946293040464866
109,CLX,110.78411865234375,207.95034790039062,147.9199981689453,1.6165053988988949,97.16622924804688,0.016636494092739408
307,MRK,54.81409454345703,131.0275115966797,83.01000213623047,1.7029957025662839,76.21341705322266,0.022345090515716134
66,BA,95.01000213623047,338.8800048828125,184.4199981689453,1.7275474059673457,243.87000274658203,0.0070838864415913
317,MHK,58.65999984741211,229.74000549316406,121.01000213623047,1.743865266488256,171.08000564575195,0.010193273374675958
331,NEM,29.133405685424805,77.48811340332031,46.540000915527344,1.777953245806053,48.35470771789551,0.036768979272478436
143,DXCM,47.790000915527344,162.81500244140625,89.06999969482422,1.7864584526966436,115.0250015258789,0.015531044807634427
451,TSN,38.53867721557617,90.29637145996094,57.099998474121094,1.7884703639056678,51.757694244384766,0.03455467616971172
196,F,3.268043279647827,20.632551193237305,9.479999542236328,1.7953364736592248,17.364507913589478,0.10339115180190007
225,HSY,100.48072052001953,264.3736572265625,157.8800048828125,1.855313241723632,163.89293670654297,0.011320275778849741
396,RVTY,65.961669921875,199.59193420410156,112.26000213623047,1.8862867816390276,133.63026428222656,0.014115715416495755
496,ZBRA,161.50999450683594,614.5499877929688,318.3599853515625,1.888364805418568,453.0399932861328,0.004168207737514041
392,REGN,397.6499938964844,1201.760009765625,673.5999755859375,1.9139701729499115,804.1100158691406,0.0023802342156889478
178,ES,49.51327133178711,84.91275787353516,61.540000915527344,1.943400888434962,35.39948654174805,0.05489912646453306
244,INCY,51.18000030517578,109.69000244140625,70.41999816894531,2.041060739742052,58.51000213623047,0.034883962830659164
458,UPS,73.22294616699219,206.13897705078125,116.22000122070312,2.0912821986936874,132.91603088378906,0.01573385982705227
28,AMT,149.80325317382812,274.0849609375,189.3800048828125,2.140270547657364,124.28170776367188,0.017221122771560234
116,CAG,19.925060272216797,36.99846267700195,25.280000686645508,2.1883459167503405,17.073402404785156,0.12817280732146358
249,IFF,60.4141845703125,141.86819458007812,85.58000183105469,2.2366924215424184,81.45401000976562,0.027459574074674267
223,DOC,14.377752304077148,31.30313491821289,19.59000015258789,2.2472328841714058,16.925382614135742,0.13277294436431597
43,ADM,25.82714080810547,92.13553619384766,46.099998474121094,2.2707966719905586,66.30839538574219,0.03424599040257927
162,EW,52.40999984741211,130.67999267578125,76.19000244140625,2.2914207018689288,78.26999282836914,0.0292758516906162
325,MOS,6.4539690017700195,73.3497543334961,26.510000228881836,2.3354448132936745,66.89578533172607,0.03491168840776077
137,DAY,39.209999084472656,130.32000732421875,66.41999816894531,2.3484017385262566,91.1100082397461,0.025775453036363385
469,VTRS,7.681900978088379,18.278339385986328,10.800000190734863,2.398364736093253,10.59643840789795,0.22633687318048826
429,TROW,70.75823974609375,194.54873657226562,107.16999816894531,2.3997395947920634,123.79049682617188,0.019385491264016876
115,CMCSA,26.823022842407227,56.01373291015625,35.38999938964844,2.4073526298083765,29.190710067749023,0.08246982085126146
79,CZR,7.099999904632568,119.48999786376953,39.7599983215332,2.441212596660087,112.38999795913696,0.02172090613924265
433,TGT,80.86758422851562,243.33900451660156,127.87999725341797,2.4559259955881285,162.47142028808594,0.015116049279518868
61,TECH,39.54694747924805,132.9982452392578,65.94000244140625,2.540753349470087,93.45129776000977,0.027187994285482693
412,SJM,82.59134674072266,152.06011962890625,102.02999877929688,2.573744349676572,69.4687728881836,0.037048939295635054
161,EIX,35.66938018798828,87.42728424072266,50.060001373291016,2.5966414087527485,51.757904052734375,0.05016898300416336
497,ZBH,75.28673553466797,168.3590545654297,100.5199966430664,2.6884776260562004,93.07231903076172,0.028885899202400023
479,DIS,78.35206604003906,199.44610595703125,110.37999725341797,2.7808885972131736,121.09403991699219,0.022964702466937457
486,WST,127.43678283691406,467.6920166015625,214.72999572753906,2.8978429421652177,340.25523376464844,0.008516674115789297
281,LW,41.80491256713867,111.66365051269531,58.459999084472656,3.1944386102618143,69.85873794555664,0.04572711595149847
190,FIS,45.890445709228516,142.8850555419922,68.9800033569336,3.200799829632257,96.99460983276367,0.03299977014342361
41,APTV,33.54999923706055,178.1199951171875,67.0,3.3219728724282014,144.56999588012695,0.022978300941383995
417,LUV,21.59369659423828,60.940513610839844,30.280000686645508,3.5297535750555813,39.34681701660156,0.0897087450191022
93,CNC,45.54999923706055,97.22000122070312,56.86000061035156,3.5685230512582597,51.67000198364258,0.06906372971280249
239,HII,125.17152404785156,291.55303955078125,161.27000427246094,3.6091002853217797,166.3815155029297,0.021691714217245663
168,EPAM,160.1300048828125,717.489990234375,266.1199951171875,4.258609649072294,557.3599853515625,0.007640680639077664
98,CHTR,254.61000061035156,821.010009765625,360.2699890136719,4.360591248536183,566.4000091552734,0.007698783859554576
418,SWK,63.0701789855957,196.6053924560547,87.0999984741211,4.557062695965074,133.53521347045898,0.03412629955448568
81,CPB,35.337039947509766,53.519187927246094,38.599998474121094,4.572289022814822,18.182147979736328,0.2514713348450664
362,PAYC,139.61032104492188,546.1292114257812,209.22000122070312,4.8399764135433605,406.5188903808594,0.011905907764849216
209,GNRC,79.01000213623047,505.79998779296875,146.85000610351562,5.29112559991228,426.7899856567383,0.012397492391416758
56,BALL,42.13652420043945,93.8227310180664,49.849998474121094,5.700768678775554,51.68620681762695,0.11029574483750616
96,CRL,98.9000015258789,458.29998779296875,151.99000549316406,5.769635701827362,359.39998626708984,0.01605352232133818
237,HUM,206.267578125,551.6603393554688,253.8300018310547,6.261883106821159,345.39276123046875,0.018129746218516776
166,ENPH,23.989999771118164,336.0,63.939998626708984,6.8100127450996775,312.01000022888184,0.021826264350835043
91,CE,53.23967742919922,169.2784881591797,68.05999755859375,6.829710135601579,116.03881072998047,0.0588571193778791
366,PFE,21.685483932495117,52.609764099121094,25.530000686645508,7.043736610912497,30.924280166625977,0.2277736643491615
335,NKE,59.45452117919922,170.15216064453125,73.04000091552734,7.1482319074329075,110.69763946533203,0.06457438425930997
13,ALB,48.421321868896484,317.1370849609375,81.20999908447266,7.195382855042054,268.715763092041,0.026776928797353352
215,GPN,91.47590637207031,212.60665893554688,105.62999725341797,7.55800302392458,121.13075256347656,0.06239541044677266
15,ALGN,137.72000122070312,729.9199829101562,206.77000427246094,7.576393273227776,592.1999816894531,0.012793639830270716
404,SBAC,183.54600524902344,373.0064697265625,205.3699951171875,7.681293641632238,189.46046447753906,0.040542989603738
247,INTC,18.889999389648438,62.083335876464844,23.600000381469727,8.170557832539684,43.193336486816406,0.18916246109011572
363,PYPL,50.38999938964844,308.5299987792969,77.97000122070312,8.359680284683176,258.13999938964844,0.03238428877527302
7,AES,8.089492797851562,26.79768180847168,9.930000305175781,9.16469041075448,18.708189010620117,0.4898758723012655
148,DLTR,61.209999084472656,174.0800018310547,71.55999755859375,9.905315882780048,112.87000274658203,0.08775862179271546
130,CCI,79.8581771850586,179.3638153076172,87.95999908447266,11.281884168517085,99.5056381225586,0.1133793459484323
14,ARE,86.68779754638672,197.90379333496094,94.8499984741211,12.625736094130316,111.21599578857422,0.11352446205788881
480,WBD,6.710000038146973,77.2699966430664,10.34000015258789,18.438014980830623,70.55999660491943,0.2613097486961206
477,WBA,8.006780624389648,45.52336883544922,9.699999809265137,21.156959090809245,37.51658821105957,0.5639361173192277
