,industry,sector,overallRisk,dividendRate,beta,trailingPE,marketCap,profitMargins,bookValue,currentPrice,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,symbol,displayName,prevName,nameChangeDate,revPerEmp
0,Semiconductors,Technology,5.0,,1.968,85.39416,189687595008.0,0.080249995,35.817,116.99,5878000128.0,4730999808.0,1.765,2.803,27750000640.0,8.174,17.122,0.0256,0.03904,14867999744.0,3355624960.0,3459000064.0,AMD,Advanced Micro Devices,,,991071.4514285715
1,REIT - Office,Real Estate,7.0,5.28,1.289,93.26315,12261458944.0,0.0461,102.655,70.88,1971954944.0,13462246400.0,2.868,3.381,3111841024.0,61.193,18.122,0.013040001,0.01476,2194494976.0,1259089792.0,1371315968.0,ARE,Alexandria Real Estate Equities,,,5637393.15942029
2,Internet Content & Information,Communication Services,10.0,0.84,1.01,18.441471,2015030673408.0,0.30857,28.405,165.42,135705001984.0,28497999872.0,1.597,1.768,359713013760.0,8.254,29.338,0.16896999,0.34789002,210757992448.0,60679000064.0,132601004032.0,GOOGL,,,,1936867.061313059
3,Internet Content & Information,Communication Services,,0.84,1.01,18.607143,2013694263296.0,0.30857,28.405,166.72,135705001984.0,28497999872.0,1.597,1.768,359713013760.0,8.254,29.338,0.16896999,0.34789002,210757992448.0,60679000064.0,132601004032.0,GOOG,Alphabet,,,1936867.061313059
4,Asset Management,Financial Services,6.0,6.4,1.27,17.769806,49764335616.0,0.16558,56.795,522.61,,4028000000.0,2.082,2.91,18082000896.0,74.235,180.956,0.022219999,0.58108,10238000128.0,3326500096.0,6837000192.0,AMP,Ameriprise Financial,,,1329558.8894117647
6,Asset Management,Financial Services,3.0,20.84,1.426,23.413244,149264236544.0,0.30093,309.865,963.455,8415000064.0,14259000320.0,1.498,2.132,20955000832.0,28.41,138.199,0.036679998,0.13932,10352000000.0,5851375104.0,4236000000.0,BLK,BlackRock,,,927212.4261946903
7,Footwear & Accessories,Consumer Cyclical,3.0,,1.11,20.748377,19398234112.0,0.19137,17.335,127.81,1226205056.0,257028992.0,2.489,3.17,4923590144.0,9.77,32.25,0.19806999,0.39797002,2845370880.0,820262848.0,1088840960.0,DECK,Deckers Outdoor,,,1025747.9466666667
8,Farm & Heavy Construction Machinery,Industrials,7.0,6.48,1.094,22.062859,135272742912.0,0.12993,82.822,498.4,10081000448.0,65362001920.0,1.897,2.213,47855001600.0,289.674,174.701,0.0496,0.27745,13676999680.0,1190125056.0,9006999552.0,DE,,,,1359517.0909090908
13,Residential Construction,Consumer Cyclical,10.0,2.0,1.434,7.983577,28709079040.0,0.10438,86.158,109.375,4984000000.0,3864478976.0,3.159,8.668,35760066560.0,16.9,133.202,0.08224,0.15213999,7812855808.0,9169408000.0,1746470016.0,LEN,Lennar,,,2695821.0750094233
14,Internet Content & Information,Communication Services,10.0,2.1,1.237,25.767923,1657952272384.0,0.39113998,73.337,659.4012,87979999232.0,49519001600.0,2.501,2.662,170359996416.0,26.763,67.349,0.17879999,0.39835,139297996800.0,36658999296.0,96108003328.0,META,Meta Platforms,,,2217247.526043158
